Afghanistan,1,2,1,,,,1,1,1
Albania,1,,1,,,,1,1
Algeria,1,,,,,,1,1
Amnesty International,,,,1,1,1,1,1
Angola,1,,,1,,1
Argentina,1,2,1,1,,1,1,,1
Armenia,1,,,,,,1,1,1
Australia,1,2,1,,1,,1,1,1
Austria,1,2,1,,1,,1,1,1
Azerbaijan,1,,,,,,1,1
Bahamas,1,,1,,,,,,1
Bahrain,1,,,,,1,1,,1
Bangladesh,1,,1,1,,1,,,1
Barbados,1,,1,,,,,,1
Belarus,1,2,,,,,1,1,1
Belgium,1,2,1,,1,1,1,1
Belize,1,,1,,,,1,,1
Bhutan,1,,1,,,,,,1
Bolivia,1,2,1,,,,1,,1
Bosnia and Herzegovina,1,,1,,,,1,1,1,1
Botswana,1,,1,,,,,,1
Brazil,1,2,1,1,,1,1,,1,1
Bulgaria,1,2,1,,,,1,1,1
Burkina Faso,1,,1,,,1
Cambodia,1,2,1,,,,,,1
Cameroon,1,,1,,,1
Canada,1,2,1,,1,,1,1,1
Cape Verde,1,,1,1
Central African Republic,1,,1,,,,,,1
Chad,1,,1,,,,,,1
Chile,1,2,1,,1,1,,,1
China,1,2,1,1,,1,,,1,1
Colombia,1,2,1,,,,,,1,1
Congo (Republic of the),1,,1,1,,,,,1
Costa Rica,1,2,1,,,,,,1
Côte d'Ivoire,1,,1,1,,,,,1
Croatia,1,,,,,,1,1,1
Cuba,1,2,1,,,1,1,,1
Cyprus,1,,1,,,,1,1,1
Czech Republic,1,,1,,1,,1,1,1
D.P.R. of Korea ,1,,1,,,,1,,1
D.R. of the Congo,1,,1,1,,,,,1
Denmark,1,2,,1,1,,1,1
Djibouti,1,,1,,,1
Dominican Republic,1,2,1,1,,,,,1
Ecuador,1,2,1,,,1,,,1
Egypt,1,2,1,,,,1,1,1
El Salvador,1,2,1,1,,,,,1
Eritrea,1,,1,,,,,,1
Estonia,1,,,1,1,,1,1
Ethiopia,1,2,1,1
Fiji,1,,1,,,,1
Finland,1,2,1,,1,,1,1,1
France,1,2,1,1,1,1,1,1,1,1
Gabon,1,,1,,,1,,,1,1
Georgia,1,,1,,,,1,1,1
Germany,1,,1,,1,,1,1,1,1
Ghana,1,,1,,,,,,1
Greece,1,2,1,,1,,1,1,1
Guatemala,1,2,1,,,1,,,1
Guinea,1,,1,,,,,,1
Guyana,1,,1,,,,,,1
Haiti,1,2,,,,,,,1
Holy See,1,,1,,,,1
Honduras,1,2,1,,,,,,1
Human Rights Watch,1,,1,1,,1
Hungary,1,2,1,1,1,1,1,1,1
Iceland,1,2,,,1,,1,1,1
India,1,2,1,1,,,,,1,1
Indonesia,1,2,1,1,,,,,1
International Crisis Group,,,,1,1,1
Int'l Committee of the Red Cross,1,,1,,1,,1,1,1
Int'l Institute for Env't and Devlopment,,,,,1,,1,1
Iran (Islamic Republic of),1,2,1,,,,1,,1
Iraq,1,2,1,,,,,,1
Ireland,1,2,1,,,,1,1,1
Israel,1,2,1,,1,,1,1,1
Italy,1,2,1,1,1,,1,1,1
Jamaica,1,,1,,,,,,1
Japan,1,2,1,1,1,1,1,1,1
Jordan,1,2,1,,,1,1,1,1
Kazakhstan,1,,1,1,,,1,1,1
Kenya,1,,1,,,,,,1
Kuwait,1,,1,,,,,,1
Kyrgyzstan,,,,,,1,1,1
Lao People's Dem. Rep.,1,2
Latvia,,,1,,,,1,1
Lebanon,1,2,1,,,,,,1,1
Lesotho,1,,1,1
Libyan Arab Jamahiriya,1,2,1,1,,1,,,1
Liechtenstein       ,,,1,,,,1,1
Lithuania,,,1,,,,1,1
Luxembourg,,2,,1,1,,1,1
Macedonia (The F.Y.R of),1,,,,,,1,1,1
Madagascar,1,,1,,,,,,1
Malaysia,1,,1,1,,1,,,1
Maldives,1,,,,,1,,,1
Malta,,,1,,,,1,1
Mauritius,1,,,,,1,,,1
Médecins Sans Frontières,1,,1,,,1,,,1
Mexico,1,2,1,1,1,1,,,1
Moldova,,,,,,1,1,1
Mongolia,1,,,1,,,,,1
Montenegro,,,1,,,,1,1
Morocco,1,2,,,,,1,1,1
Mozambique,1,,1,,,,,,1
Myanmar,1,2,1,,,,,,1
Nepal,1,2
Netherlands,1,2,1,,1,,1,1,1
New Zealand,1,2,1,,1,,,,1
Nicaragua,1,2,1,,,,,,1
Nigeria,1,,1,1,,1,,,1,1
Norway,,2,1,1,1,1,1,1
Oman,1,,1,,,,,,1
Oxfam International,1,,,1,1,,1,1,1
Pakistan,1,2,1,1,,1,,,1
Palestine,1,,1,,,,,,1
Panama,1,2,1,,,,,,1
Paraguay,1,2,1,,,,,,1
Peru,1,2,1,1,,,,,1
Philippines,1,2,1,,,,,,1
Poland,,2,1,,1,1,1,1
Portugal,1,2,1,,1,,1,1,1,1
Qatar,1,,,,,1,,,1
Republic of Korea,1,,1,1,1,1,1,1,1
Romania,1,2,1,,,,1,1,1
Russian Federation,1,2,1,1,,1,1,1,1,1
Rwanda,1,,1,,,,,,1
Saudi Arabia,1,2,1,1,,1,,,1
Senegal,1,,1,,,1,,,1
Serbia,,,1,,,,1,1
Sierra Leone,1,,1,,,,,,1
Singapore,1,,1,,,,,,1
Slovakia,1,,1,,1,1,1,1
Slovenia,1,,,,1,,1,1,1
Somalia,1,,1,,,,,,1
South Africa,1,2,1,,,,,,1,1
Spain,1,2,1,1,1,1,1,1,1
Sri Lanka,1,2,1,,,,,,1
Sudan,1,2,1,,,,,,1
Swaziland,1,,,,,,1,,1
Sweden,1,2,1,1,1,,1,1,1
Switzerland,1,,1,,1,1,1,1,1
Syrian Arab Republic,1,2,1,,,,,,1
Tajikistan,1,,,,,,1,1
Thailand,1,2,1,,,1,1,,1
Timor-Leste,1,,1,1
Togo,1,,,,,,1,,1
Trinidad and Tobago,1,,,,,,1,,1
Tunisia,1,2,,,,,1,1,1
Turkey,1,2,1,,1,,1,1,1
Turkmenistan,1,,,,,,1,1,1
Uganda,1,,1,,,1,,,1
UK of GB and NI,1,2,1,1,1,1,1,1,1,1
Ukraine,1,2,1,1,,1,1,1,1
United Arab Emirates,1,,1,,,,1,,1
United Republic of Tanzania,1,,1,1,,,,,1
United States of America,1,2,1,1,1,1,1,1,1,1
Uruguay,1,2,1,,,1,,,1
Uzbekistan,1,,,,,,1,1
Venezuela (Bolivarian Rep. of),1,2,1,,,,,,1
Viet Nam,1,,1,,,,,,1
Yemen,1,2
Zambia,1,,1,,,1,,,1
Zimbabwe,1,,1,,,,,,1